,model,score_test,balanced_accuracy,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestEntr,0.9802930661029776,0.9802930661029776,0.8423763334947161,0.12369799613952637,0.047107696533203125,0.5036470890045166,0.12369799613952637,0.047107696533203125,0.5036470890045166,1,True,6
1,RandomForestGini,0.9798716041650356,0.9798716041650356,0.8390123374346816,0.10299396514892578,0.04443693161010742,0.4604790210723877,0.10299396514892578,0.04443693161010742,0.4604790210723877,1,True,5
2,ExtraTreesEntr,0.975368616091234,0.975368616091234,0.8030267617155545,0.14697718620300293,0.045240163803100586,0.4540998935699463,0.14697718620300293,0.045240163803100586,0.4540998935699463,1,True,9
3,ExtraTreesGini,0.9749471541532921,0.9749471541532921,0.7996627656555201,0.15799808502197266,0.04609799385070801,0.43730592727661133,0.15799808502197266,0.04609799385070801,0.43730592727661133,1,True,8
4,KNeighborsDist,0.9693389702236488,0.9693389702236488,0.7680595669376784,0.048677921295166016,0.008130788803100586,0.007480144500732422,0.048677921295166016,0.008130788803100586,0.007480144500732422,1,True,2
5,WeightedEnsemble_L2,0.9618635663769932,0.9618635663769932,0.8791298686121638,0.3954308032989502,0.09783720970153809,11.537286520004272,0.0039958953857421875,0.0011630058288574219,0.5085458755493164,2,True,14
6,XGBoost,0.9325869673008169,0.9325869673008169,0.8632865323294212,0.026144981384277344,0.006806135177612305,0.545245885848999,0.026144981384277344,0.006806135177612305,0.545245885848999,1,True,11
7,LightGBMLarge,0.9242647250711136,0.9242647250711136,0.8515334145812117,0.013458013534545898,0.006186962127685547,1.1015210151672363,0.013458013534545898,0.006186962127685547,1.1015210151672363,1,True,13
8,CatBoost,0.921525874892351,0.921525874892351,0.860732232591529,0.016371965408325195,0.00797414779663086,3.6715588569641113,0.016371965408325195,0.00797414779663086,3.6715588569641113,1,True,7
9,LightGBMXT,0.9097288551371383,0.9097288551371383,0.8448471593849647,0.02933502197265625,0.007528066635131836,1.422637939453125,0.02933502197265625,0.007528066635131836,1.422637939453125,1,True,3
10,NeuralNetFastAI,0.8842936924241238,0.8842936924241238,0.8424180704185379,0.09944891929626465,0.013950109481811523,3.8429908752441406,0.09944891929626465,0.013950109481811523,3.8429908752441406,1,True,10
11,LightGBM,0.882723975051541,0.882723975051541,0.8523848478271758,0.010069847106933594,0.005982875823974609,0.4580049514770508,0.010069847106933594,0.005982875823974609,0.4580049514770508,1,True,4
12,NeuralNetTorch,0.8546243377958715,0.8546243377958715,0.8340706856541845,0.22895312309265137,0.02500462532043457,5.912788391113281,0.22895312309265137,0.02500462532043457,5.912788391113281,1,True,12
13,KNeighborsUnif,0.8298781283436416,0.8298781283436416,0.7864154660344914,0.015207767486572266,0.006845235824584961,0.005972862243652344,0.015207767486572266,0.006845235824584961,0.005972862243652344,1,True,1
