model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.937,0.872,0.18427395820617676,0.09271359443664551,3.103419780731201,0.010651111602783203,0.001111745834350586,0.47960782051086426,2,True,14
CatBoost,0.8965,0.862,0.003329038619995117,0.0033321380615234375,0.7105510234832764,0.003329038619995117,0.0033321380615234375,0.7105510234832764,1,True,7
XGBoost,0.92075,0.858,0.00867605209350586,0.005511283874511719,0.4862227439880371,0.00867605209350586,0.005511283874511719,0.4862227439880371,1,True,11
LightGBMXT,0.89625,0.858,0.01291203498840332,0.0033180713653564453,1.0508270263671875,0.01291203498840332,0.0033180713653564453,1.0508270263671875,1,True,3
LightGBMLarge,0.9385,0.856,0.010501861572265625,0.0038928985595703125,0.9848990440368652,0.010501861572265625,0.0038928985595703125,0.9848990440368652,1,True,13
LightGBM,0.86525,0.856,0.0035178661346435547,0.002485990524291992,0.2867729663848877,0.0035178661346435547,0.002485990524291992,0.2867729663848877,1,True,4
NeuralNetFastAI,0.85325,0.856,0.05362582206726074,0.019483089447021484,3.5344889163970947,0.05362582206726074,0.019483089447021484,3.5344889163970947,1,True,10
NeuralNetTorch,0.898,0.838,0.040194034576416016,0.01166987419128418,6.768602132797241,0.040194034576416016,0.01166987419128418,6.768602132797241,1,True,12
RandomForestGini,0.97925,0.834,0.08108901977539062,0.042259931564331055,0.4603860378265381,0.08108901977539062,0.042259931564331055,0.4603860378265381,1,True,5
RandomForestEntr,0.97875,0.83,0.07870292663574219,0.04211688041687012,0.4679758548736572,0.07870292663574219,0.04211688041687012,0.4679758548736572,1,True,6
ExtraTreesEntr,0.977,0.816,0.09213423728942871,0.04289531707763672,0.42906785011291504,0.09213423728942871,0.04289531707763672,0.42906785011291504,1,True,9
ExtraTreesGini,0.9765,0.812,0.09874796867370605,0.04224801063537598,0.4196031093597412,0.09874796867370605,0.04224801063537598,0.4196031093597412,1,True,8
KNeighborsDist,0.62175,0.63,0.34160614013671875,0.03836703300476074,0.0064678192138671875,0.34160614013671875,0.03836703300476074,0.0064678192138671875,1,True,2
KNeighborsUnif,0.621,0.626,0.2966117858886719,0.07308387756347656,0.005924224853515625,0.2966117858886719,0.07308387756347656,0.005924224853515625,1,True,1
